"PVWatts Hourly PV Performance Data"
"Requested Location","8712 Ranch Rd loveland co"
"Location","Lat, Lng: 40.37, -105.22"
"Latitude (DD)","40.37"
"Longitude (DD)","-105.22"
"Elevation (m)","1721.8399658203"
"DC System Size (kW)","3.285"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","16"
"Array Azimuth (deg)","90"
"System Losses (%)","15.79"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-15","6.2","0.87","0","-15","0","0"
"1","1","1","0","0","-14","6.5","0.87","0","-14","0","0"
"1","1","2","0","0","-14","6.6","0.87","0","-14","0","0"
"1","1","3","0","0","-14","6.6","0.87","0","-14","0","0"
"1","1","4","0","0","-14","6.6","0.87","0","-14","0","0"
"1","1","5","0","0","-13","6.6","0.87","0","-13","0","0"
"1","1","6","0","0","-13","6.5","0.87","0","-13","0","0"
"1","1","7","0","0","-12","6.5","0.87","0","0","0","0"
"1","1","8","423","47","-11","6.8","0.87","221.538","-7.858","649.825","613.779"
"1","1","9","555","81","-10","6.9","0.87","348.882","-5.05","1062.784","1012.105"
"1","1","10","251","169","-10","6.9","0.87","303.421","-5.7","920.274","874.645"
"1","1","11","0","114","-9","6.5","0.87","111.747","-7.355","328.208","303.558"
"1","1","12","351","186","-9","6.1","0.87","326.02","-3.999","964.568","917.369"
"1","1","13","679","94","-9","5.9","0.87","292.047","-4.499","811.867","770.079"
"1","1","14","719","60","-9","5.4","0.87","164.23","-6.481","375.295","348.977"
"1","1","15","729","45","-9","4.8","0.87","37.562","-8.329","104.726","87.994"
"1","1","16","300","14","-10","4.3","0.87","13.729","-9.746","33.314","19.114"
"1","1","17","0","0","-10","4.4","0.87","0","-10","0","0"
"1","1","18","0","0","-11","4.9","0.87","0","-11","0","0"
"1","1","19","0","0","-11","5.4","0.87","0","-11","0","0"
"1","1","20","0","0","-11","6","0.87","0","-11","0","0"
"1","1","21","0","0","-12","6.6","0.87","0","-12","0","0"
"1","1","22","0","0","-12","7","0.87","0","-12","0","0"
"1","1","23","0","0","-11","7.3","0.87","0","-11","0","0"
"1","2","0","0","0","-11","7.6","0.87","0","-11","0","0"
"1","2","1","0","0","-11","7.5","0.87","0","-11","0","0"
"1","2","2","0","0","-10","7.1","0.87","0","-10","0","0"
"1","2","3","0","0","-9","7.1","0.87","0","-9","0","0"
"1","2","4","0","0","-9","7.4","0.87","0","-9","0","0"
"1","2","5","0","0","-8","7.6","0.87","0","-8","0","0"
"1","2","6","0","0","-8","7.4","0.87","0","-8","0","0"
"1","2","7","0","0","-7","7.1","0.87","0","0","0","0"
"1","2","8","0","47","-6","6.9","0.87","47.204","-5.333","134.104","116.332"
"1","2","9","136","125","-3","6.9","0.87","198.526","-0.185","585.958","552.175"
"1","2","10","247","170","-1","6.7","0.87","302.924","3.382","890.144","845.582"
"1","2","11","287","194","0","6.4","0.87","334.958","4.991","973.733","926.21"
"1","2","12","178","206","0","6","0.87","274.286","4.258","788.056","747.112"
"1","2","13","78","176","0","5.4","0.87","190.042","3.159","540.709","508.529"
"1","2","14","28","122","0","4.4","0.87","116.851","2.211","330.758","306.018"
"1","2","15","747","41","-2","3.6","0.87","33.595","-1.29","90.328","74.107"
"1","2","16","0","24","-3","3.3","0.87","23.535","-2.495","56.581","41.556"
"1","2","17","0","0","-4","3.2","0.87","0","-4","0","0"
"1","2","18","0","0","-5","3.1","0.87","0","-5","0","0"
"1","2","19","0","0","-5","2.9","0.87","0","-5","0","0"
"1","2","20","0","0","-5","2.5","0.87","0","-5","0","0"
"1","2","21","0","0","-6","1.8","0.87","0","-6","0","0"
"1","2","22","0","0","-6","1.3","0.87","0","-6","0","0"
"1","2","23","0","0","-6","1.1","0.87","0","-6","0","0"
"1","3","0","0","0","-6","1","0.87","0","-6","0","0"
"1","3","1","0","0","-6","1","0.87","0","-6","0","0"
"1","3","2","0","0","-6","0.9","0.87","0","-6","0","0"
"1","3","3","0","0","-7","0.8","0.87","0","-7","0","0"
"1","3","4","0","0","-7","0.7","0.87","0","-7","0","0"
"1","3","5","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","6","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","7","0","0","-7","0.6","0.87","0","0","0","0"
"1","3","8","697","39","-5","0.7","0.87","310.869","6.781","868.88","825.072"
"1","3","9","861","57","-3","1.4","0.87","459.47","11.782","1326.538","1266.513"
"1","3","10","931","68","-1","1.9","0.87","532.555","14.376","1530.292","1463.047"
"1","3","11","961","73","0","1.9","0.87","534.186","15.384","1514.887","1448.188"
"1","3","12","958","75","0","1.6","0.87","471.387","14.374","1307.355","1248.01"
"1","3","13","929","71","0","1.3","0.87","350.71","11.239","917.836","872.293"
"1","3","14","865","61","0","0.9","0.87","192.098","6.379","417.483","389.67"
"1","3","15","713","46","-1","0.5","0.87","38.253","0.538","103.124","86.45"
"1","3","16","294","15","-4","0.5","0.87","14.709","-3.427","34.835","20.58"
"1","3","17","0","0","-5","0.7","0.87","0","-5","0","0"
"1","3","18","0","0","-6","0.9","0.87","0","-6","0","0"
"1","3","19","0","0","-7","1.1","0.87","0","-7","0","0"
"1","3","20","0","0","-8","1.1","0.87","0","-8","0","0"
"1","3","21","0","0","-8","0.9","0.87","0","-8","0","0"
"1","3","22","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","23","0","0","-9","0.8","0.87","0","-9","0","0"
"1","4","0","0","0","-9","1.1","0.87","0","-9","0","0"
"1","4","1","0","0","-9","1.5","0.87","0","-9","0","0"
"1","4","2","0","0","-8","2","0.87","0","-8","0","0"
"1","4","3","0","0","-8","2.5","0.87","0","-8","0","0"
"1","4","4","0","0","-8","3.1","0.87","0","-8","0","0"
"1","4","5","0","0","-8","3.6","0.87","0","-8","0","0"
"1","4","6","0","0","-7","4","0.87","0","-7","0","0"
