"PVWatts Hourly PV Performance Data"
"Requested Location","8712 Ranch Rd loveland co"
"Location","Lat, Lng: 40.37, -105.22"
"Latitude (DD)","40.37"
"Longitude (DD)","-105.22"
"Elevation (m)","1721.8399658203"
"DC System Size (kW)","4.38"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","16"
"Array Azimuth (deg)","270"
"System Losses (%)","15.79"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-15","6.2","0.87","0","-15","0","0"
"1","1","1","0","0","-14","6.5","0.87","0","-14","0","0"
"1","1","2","0","0","-14","6.6","0.87","0","-14","0","0"
"1","1","3","0","0","-14","6.6","0.87","0","-14","0","0"
"1","1","4","0","0","-14","6.6","0.87","0","-14","0","0"
"1","1","5","0","0","-13","6.6","0.87","0","-13","0","0"
"1","1","6","0","0","-13","6.5","0.87","0","-13","0","0"
"1","1","7","0","0","-12","6.5","0.87","0","0","0","0"
"1","1","8","423","47","-11","6.8","0.87","36.597","-10.479","138.011","115.76"
"1","1","9","555","81","-10","6.9","0.87","141.76","-8.136","446.302","413.127"
"1","1","10","251","169","-10","6.9","0.87","227.702","-6.815","876.631","828.208"
"1","1","11","0","114","-9","6.5","0.87","111.098","-7.364","434.987","402.213"
"1","1","12","351","186","-9","6.1","0.87","352.942","-3.568","1409.408","1342.107"
"1","1","13","679","94","-9","5.9","0.87","437.054","-2.096","1765.31","1685.398"
"1","1","14","719","60","-9","5.4","0.87","403.105","-2.249","1628.756","1553.682"
"1","1","15","729","45","-9","4.8","0.87","338.944","-2.938","1325.229","1260.91"
"1","1","16","300","14","-10","4.3","0.87","93.25","-8.345","284.65","257.204"
"1","1","17","0","0","-10","4.4","0.87","0","-10","0","0"
"1","1","18","0","0","-11","4.9","0.87","0","-11","0","0"
"1","1","19","0","0","-11","5.4","0.87","0","-11","0","0"
"1","1","20","0","0","-11","6","0.87","0","-11","0","0"
"1","1","21","0","0","-12","6.6","0.87","0","-12","0","0"
"1","1","22","0","0","-12","7","0.87","0","-12","0","0"
"1","1","23","0","0","-11","7.3","0.87","0","-11","0","0"
"1","2","0","0","0","-11","7.6","0.87","0","-11","0","0"
"1","2","1","0","0","-11","7.5","0.87","0","-11","0","0"
"1","2","2","0","0","-10","7.1","0.87","0","-10","0","0"
"1","2","3","0","0","-9","7.1","0.87","0","-9","0","0"
"1","2","4","0","0","-9","7.4","0.87","0","-9","0","0"
"1","2","5","0","0","-8","7.6","0.87","0","-8","0","0"
"1","2","6","0","0","-8","7.4","0.87","0","-8","0","0"
"1","2","7","0","0","-7","7.1","0.87","0","0","0","0"
"1","2","8","0","47","-6","6.9","0.87","44.846","-5.366","169.516","146.149"
"1","2","9","136","125","-3","6.9","0.87","128.935","-1.203","472.49","438.388"
"1","2","10","247","170","-1","6.7","0.87","227.472","2.249","848.544","801.116"
"1","2","11","287","194","0","6.4","0.87","302.804","4.494","1156.175","1097.847"
"1","2","12","178","206","0","6","0.87","290.565","4.52","1121.812","1064.702"
"1","2","13","78","176","0","5.4","0.87","218.272","3.644","843.34","796.096"
"1","2","14","28","122","0","4.4","0.87","140.684","2.672","541.199","504.662"
"1","2","15","747","41","-2","3.6","0.87","343.062","5.264","1304.973","1241.372"
"1","2","16","0","24","-3","3.3","0.87","23.535","-2.495","75.442","55.408"
"1","2","17","0","0","-4","3.2","0.87","0","-4","0","0"
"1","2","18","0","0","-5","3.1","0.87","0","-5","0","0"
"1","2","19","0","0","-5","2.9","0.87","0","-5","0","0"
"1","2","20","0","0","-5","2.5","0.87","0","-5","0","0"
"1","2","21","0","0","-6","1.8","0.87","0","-6","0","0"
"1","2","22","0","0","-6","1.3","0.87","0","-6","0","0"
"1","2","23","0","0","-6","1.1","0.87","0","-6","0","0"
"1","3","0","0","0","-6","1","0.87","0","-6","0","0"
"1","3","1","0","0","-6","1","0.87","0","-6","0","0"
"1","3","2","0","0","-6","0.9","0.87","0","-6","0","0"
"1","3","3","0","0","-7","0.8","0.87","0","-7","0","0"
"1","3","4","0","0","-7","0.7","0.87","0","-7","0","0"
"1","3","5","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","6","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","7","0","0","-7","0.6","0.87","0","0","0","0"
"1","3","8","697","39","-5","0.7","0.87","32.593","-3.763","117.882","96.344"
"1","3","9","861","57","-3","1.4","0.87","161.989","1.643","446.555","413.371"
"1","3","10","931","68","-1","1.9","0.87","325.959","8.093","1124.73","1067.516"
"1","3","11","961","73","0","1.9","0.87","454.703","12.979","1676.87","1600.091"
"1","3","12","958","75","0","1.6","0.87","527.027","16.167","1981.02","1893.464"
"1","3","13","929","71","0","1.3","0.87","535.358","17.639","2025.018","1935.903"
"1","3","14","865","61","0","0.9","0.87","473.862","17.238","1792.508","1711.632"
"1","3","15","713","46","-1","0.5","0.87","336.913","12.567","1250.091","1188.435"
"1","3","16","294","15","-4","0.5","0.87","93.853","-0.486","279.939","252.66"
"1","3","17","0","0","-5","0.7","0.87","0","-5","0","0"
"1","3","18","0","0","-6","0.9","0.87","0","-6","0","0"
"1","3","19","0","0","-7","1.1","0.87","0","-7","0","0"
"1","3","20","0","0","-8","1.1","0.87","0","-8","0","0"
"1","3","21","0","0","-8","0.9","0.87","0","-8","0","0"
"1","3","22","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","23","0","0","-9","0.8","0.87","0","-9","0","0"
"1","4","0","0","0","-9","1.1","0.87","0","-9","0","0"
"1","4","1","0","0","-9","1.5","0.87","0","-9","0","0"
"1","4","2","0","0","-8","2","0.87","0","-8","0","0"
"1","4","3","0","0","-8","2.5","0.87","0","-8","0","0"
"1","4","4","0","0","-8","3.1","0.87","0","-8","0","0"
"1","4","5","0","0","-8","3.6","0.87","0","-8","0","0"
"1","4","6","0","0","-7","4","0.87","0","-7","0","0"
